t_s,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z
1.121172642707824707e+01,2.408894509321838351e-01,-2.995787590608049375e-02,2.947162707357935396e-01,2.535787552382504639e-01,-2.418847973809266569e-02,2.942707998208382025e-01,-1.268930430606662885e-02,-5.769396167987828061e-03,4.454709149553370828e-04
1.122912001609802246e+01,2.406571168116179438e-01,-2.993419479110924833e-02,2.947162707357935396e-01,2.535787552382504639e-01,-2.418847973809266569e-02,2.942707998208382025e-01,-1.292163842663252016e-02,-5.745715053016582641e-03,4.454709149553370828e-04
1.124945092201232910e+01,2.403976712877708699e-01,-2.990297459399303415e-02,2.947162707357935396e-01,2.535787552382504639e-01,-2.418847973809266569e-02,2.942707998208382025e-01,-1.318108395047959402e-02,-5.714494855900368459e-03,4.454709149553370828e-04
1.127004814147949219e+01,2.401473187881110749e-01,-2.986797931031039133e-02,2.947162707357935396e-01,2.535787552382504639e-01,-2.418847973809266569e-02,2.942707998208382025e-01,-1.343143645013938903e-02,-5.679499572217725639e-03,4.454709149553370828e-04
1.128915214538574219e+01,2.398953924131485560e-01,-2.982783945163479736e-02,2.947162707357935396e-01,2.529976994763523113e-01,-2.450527105778348841e-02,2.942738496464464282e-01,-1.310230706320375527e-02,-5.322568393851308949e-03,4.424210893471114403e-04
1.130909633636474609e+01,2.396455588925265612e-01,-2.978305625728156977e-02,2.947162707357935396e-01,2.518795382820662732e-01,-2.511489199882328827e-02,2.942797186126766551e-01,-1.223397938953971198e-02,-4.668164258458281507e-03,4.365521231168845162e-04
1.132906413078308105e+01,2.393969213533979623e-01,-2.973346663891432429e-02,2.947162707357935396e-01,2.518795382820662732e-01,-2.511489199882328827e-02,2.942797186126766551e-01,-1.248261692866831085e-02,-4.618574640091036021e-03,4.365521231168845162e-04
1.134908103942871094e+01,2.391507126711068520e-01,-2.967932444413877435e-02,2.947162707357935396e-01,2.518795382820662732e-01,-2.511489199882328827e-02,2.942797186126766551e-01,-1.272882561095942111e-02,-4.564432445315486087e-03,4.365521231168845162e-04
1.137042450904846191e+01,2.389018323124366960e-01,-2.961939438938686678e-02,2.947162707357935396e-01,2.518795382820662732e-01,-2.511489199882328827e-02,2.942797186126766551e-01,-1.297770596962957712e-02,-4.504502390563578512e-03,4.365521231168845162e-04
1.138912057876586914e+01,2.386633594781356338e-01,-2.955696296092238592e-02,2.947162707357935396e-01,2.512972143631964639e-01,-2.533407909753459392e-02,2.942882047863349948e-01,-1.263385488506083010e-02,-4.222883863387792008e-03,4.280659494585448144e-04
1.140901851654052734e+01,2.384217494368786883e-01,-2.948860708456395308e-02,2.947162707357935396e-01,2.501528010732144702e-01,-2.576483699812821826e-02,2.943048822567273515e-01,-1.173105163633578196e-02,-3.723770086435734816e-03,4.113884790661881397e-04
1.143006038665771484e+01,2.381723097138847278e-01,-2.941253143857767635e-02,2.947162707357935396e-01,2.501528010732144702e-01,-2.576483699812821826e-02,2.943048822567273515e-01,-1.198049135932974241e-02,-3.647694440449458092e-03,4.113884790661881397e-04
1.144909048080444336e+01,2.379437852997464686e-01,-2.933782027031917386e-02,2.947162707357935396e-01,2.501528010732144702e-01,-2.576483699812821826e-02,2.943048822567273515e-01,-1.220901577346800160e-02,-3.572983272190955600e-03,4.113884790661881397e-04
1.146923208236694336e+01,2.377086308205874077e-01,-2.925582717012529740e-02,2.947162707357935396e-01,2.501528010732144702e-01,-2.576483699812821826e-02,2.943048822567273515e-01,-1.244417025262706256e-02,-3.490990171997079144e-03,4.113884790661881397e-04
1.148974323272705078e+01,2.374669790459713048e-01,-2.916604595240815043e-02,2.947162707357935396e-01,2.495534271778277746e-01,-2.602015976369822028e-02,2.943120214854758609e-01,-1.208644813185646982e-02,-3.145886188709930142e-03,4.042492503176786656e-04
1.150907254219055176e+01,2.372428772544244446e-01,-2.907767163181487410e-02,2.947162707357935396e-01,2.485393255242879518e-01,-2.645214927933078192e-02,2.943241005962523027e-01,-1.129644826986350714e-02,-2.625522352484092187e-03,3.921701395412369173e-04
1.152945232391357422e+01,2.370085163680734908e-01,-2.897986939375445103e-02,2.947162707357935396e-01,2.485393255242879518e-01,-2.645214927933078192e-02,2.943241005962523027e-01,-1.153080915621446101e-02,-2.527720114423669118e-03,3.921701395412369173e-04
1.154926037788391113e+01,2.367844700773344968e-01,-2.888111194641110671e-02,2.947162707357935396e-01,2.485393255242879518e-01,-2.645214927933078192e-02,2.943241005962523027e-01,-1.175485544695345497e-02,-2.428962667080324794e-03,3.921701395412369173e-04
1.156909537315368652e+01,2.365575073737827272e-01,-2.877570708829329041e-02,2.947162707357935396e-01,2.485393255242879518e-01,-2.645214927933078192e-02,2.943241005962523027e-01,-1.198181815050522458e-02,-2.323557808962508492e-03,3.921701395412369173e-04
1.159012460708618164e+01,2.363234252511842715e-01,-2.866121109174004852e-02,2.947162707357935396e-01,2.478734652436824504e-01,-2.662104559967341105e-02,2.943216057710094646e-01,-1.155003999249817892e-02,-2.040165492066637470e-03,3.946649647840749786e-04
1.160914182662963867e+01,2.361111665530541415e-01,-2.855219292665079137e-02,2.947162707357935396e-01,2.468419151064515094e-01,-2.688269962455204151e-02,2.943177407900268716e-01,-1.073074855339736788e-02,-1.669493302098749854e-03,3.985299457666680034e-04
