t_s,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z
9.222969293594360352e+01,2.657044181103124236e-01,1.613203570602357584e-02,3.058868077805763086e-01,2.749842584164668979e-01,2.276504204130699264e-03,3.040531054107183384e-01,-9.279840306154474305e-03,1.385553150189287701e-02,1.833702369857970194e-03
9.224968671798706055e+01,2.656913487345181624e-01,1.650889963266953184e-02,3.058868077805763086e-01,2.744118587030760503e-01,3.161153171742182421e-03,3.040801785782011879e-01,-8.720509968557887959e-03,1.334774646092734898e-02,1.806629202375120702e-03
9.227009868621826172e+01,2.656806409518769896e-01,1.688668742811652926e-02,3.058868077805763086e-01,2.742042839930594056e-01,3.481961775629547999e-03,3.040899963764250868e-01,-8.523643041182416002e-03,1.340472565248698039e-02,1.796811404151221758e-03
9.228977084159851074e+01,2.656723950041050553e-01,1.726068074010485634e-02,3.058868077805763086e-01,2.742042839930594056e-01,3.481961775629547999e-03,3.040899963764250868e-01,-8.531888988954350328e-03,1.377871896447530747e-02,1.796811404151221758e-03
9.230973148345947266e+01,2.656664374073025581e-01,1.763856580878176566e-02,3.058868077805763086e-01,2.742042839930594056e-01,3.481961775629547999e-03,3.040899963764250868e-01,-8.537846585756847517e-03,1.415660403315221680e-02,1.796811404151221758e-03
9.232971763610839844e+01,2.656628710046832209e-01,1.801514002565531361e-02,3.058868077805763086e-01,2.742042839930594056e-01,3.481961775629547999e-03,3.040899963764250868e-01,-8.541412988376184678e-03,1.453317825002576474e-02,1.796811404151221758e-03
9.234996342658996582e+01,2.656616688108289770e-01,1.839487263638849707e-02,3.058868077805763086e-01,2.737797707021315530e-01,4.284799299693889223e-03,3.040401198072419930e-01,-8.118101891302575979e-03,1.411007333669460698e-02,1.846687973334315558e-03
9.236958861351013184e+01,2.656628320557982703e-01,1.876855815779750192e-02,3.058868077805763086e-01,2.736474713633317291e-01,4.535003182274901026e-03,3.040245758012813937e-01,-7.984639307533458741e-03,1.423355497552260089e-02,1.862231979294914908e-03
9.238969779014587402e+01,2.656663688616960339e-01,1.914588042711587099e-02,3.058868077805763086e-01,2.736474713633317291e-01,4.535003182274901026e-03,3.040245758012813937e-01,-7.981102501635695123e-03,1.461087724484096996e-02,1.862231979294914908e-03
9.240947127342224121e+01,2.656722520904828966e-01,1.952164200646249945e-02,3.058868077805763086e-01,2.736474713633317291e-01,4.535003182274901026e-03,3.040245758012813937e-01,-7.975219272848832475e-03,1.498663882418759842e-02,1.862231979294914908e-03
9.242962598800659180e+01,2.656805352596274816e-01,1.989900993264638943e-02,3.058868077805763086e-01,2.736474713633317291e-01,4.535003182274901026e-03,3.040245758012813937e-01,-7.966936103704247429e-03,1.536400675037148840e-02,1.862231979294914908e-03
9.244951868057250977e+01,2.656911375427993827e-01,2.027428754926800802e-02,3.058868077805763086e-01,2.731652531432241515e-01,5.507139017596195639e-03,3.040688085315235711e-01,-7.474115600424768857e-03,1.476714853167181152e-02,1.817999249052737465e-03
9.246950721740722656e+01,2.657041228619859141e-01,2.065005133709321705e-02,3.058868077805763086e-01,2.730081988463247678e-01,5.823755237682260930e-03,3.040832147485814096e-01,-7.304075984338853633e-03,1.482629609941095612e-02,1.803593031994898954e-03
9.248979592323303223e+01,2.657195660879650423e-01,2.102761569757544136e-02,3.058868077805763086e-01,2.730081988463247678e-01,5.823755237682260930e-03,3.040832147485814096e-01,-7.288632758359725461e-03,1.520386045989318043e-02,1.803593031994898954e-03
9.251032137870788574e+01,2.657372196965180344e-01,2.140120992174084427e-02,3.058868077805763086e-01,2.730081988463247678e-01,5.823755237682260930e-03,3.040832147485814096e-01,-7.270979149806733322e-03,1.557745468405858334e-02,1.803593031994898954e-03
9.252986431121826172e+01,2.657573934871219068e-01,2.177743537874307286e-02,3.058868077805763086e-01,2.730081988463247678e-01,5.823755237682260930e-03,3.040832147485814096e-01,-7.250805359202860956e-03,1.595368014106081367e-02,1.803593031994898954e-03
9.254978489875793457e+01,2.657798457816060167e-01,2.215148054063352176e-02,3.058868077805763086e-01,2.727343769238521620e-01,6.539703521555035280e-03,3.040783049232957946e-01,-6.954531142246145325e-03,1.561177701907848561e-02,1.808502857280513965e-03
9.256945514678955078e+01,2.658046616631323245e-01,2.252497505252538945e-02,3.058868077805763086e-01,2.726487867811746568e-01,6.763491723803544825e-03,3.040767702300801179e-01,-6.844125118042332367e-03,1.576148332872184463e-02,1.810037550496190750e-03
9.258962965011596680e+01,2.658318463200501913e-01,2.289793040903513252e-02,3.058868077805763086e-01,2.726487867811746568e-01,6.763491723803544825e-03,3.040767702300801179e-01,-6.816940461124465500e-03,1.613443868523158770e-02,1.810037550496190750e-03
9.260967016220092773e+01,2.658613887410513077e-01,2.327014102175308657e-02,3.058868077805763086e-01,2.726487867811746568e-01,6.763491723803544825e-03,3.040767702300801179e-01,-6.787398040123349130e-03,1.650664929794954175e-02,1.810037550496190750e-03
9.262952470779418945e+01,2.658932295862734829e-01,2.364090310080847052e-02,3.058868077805763086e-01,2.726487867811746568e-01,6.763491723803544825e-03,3.040767702300801179e-01,-6.755557194901173901e-03,1.687741137700492569e-02,1.810037550496190750e-03
9.264956617355346680e+01,2.659275723271456449e-01,2.401243670197533014e-02,3.058868077805763086e-01,2.725556408392825758e-01,7.201564334087792729e-03,3.040937637782931136e-01,-6.628068512136930934e-03,1.681087236788753742e-02,1.793044002283195049e-03
9.266943478584289551e+01,2.659641311726005375e-01,2.438159472722744442e-02,3.058868077805763086e-01,2.725248699053007817e-01,7.346282430190189880e-03,3.040993776283391625e-01,-6.560738732700244213e-03,1.703531229703725280e-02,1.787430152237146075e-03
9.268963646888732910e+01,2.660032531432097724e-01,2.475178734431111166e-02,3.058868077805763086e-01,2.725248699053007817e-01,7.346282430190189880e-03,3.040993776283391625e-01,-6.521616762091009267e-03,1.740550491412092005e-02,1.787430152237146075e-03
9.270964813232421875e+01,2.660446267855946512e-01,2.511993466284337048e-02,3.058868077805763086e-01,2.725248699053007817e-01,7.346282430190189880e-03,3.040993776283391625e-01,-6.480243119706130539e-03,1.777365223265318234e-02,1.787430152237146075e-03
9.272982549667358398e+01,2.660884497361611922e-01,2.548777611543006152e-02,3.058868077805763086e-01,2.725248699053007817e-01,7.346282430190189880e-03,3.040993776283391625e-01,-6.436420169139589476e-03,1.814149368523987338e-02,1.787430152237146075e-03
9.274951148033142090e+01,2.661342963235309722e-01,2.585185622620581047e-02,3.058868077805763086e-01,2.721116111746957889e-01,8.509472053706418349e-03,3.040615436736829325e-01,-5.977314851164816645e-03,1.734238417249939213e-02,1.825264106893376148e-03
9.277063155174255371e+01,2.661828637842235112e-01,2.621764791838207542e-02,3.058868077805763086e-01,2.719749446297509143e-01,8.894144161489859340e-03,3.040490318125133040e-01,-5.792080845527403099e-03,1.732350375689221608e-02,1.837775968063004584e-03
9.278961730003356934e+01,2.662334448634335882e-01,2.657974862302855262e-02,3.058868077805763086e-01,2.719749446297509143e-01,8.894144161489859340e-03,3.040490318125133040e-01,-5.741499766317326170e-03,1.768560446153869328e-02,1.837775968063004584e-03
9.280960917472839355e+01,2.662866539540985622e-01,2.694254774042545431e-02,3.058868077805763086e-01,2.719749446297509143e-01,8.894144161489859340e-03,3.040490318125133040e-01,-5.688290675652352135e-03,1.804840357893559497e-02,1.837775968063004584e-03
9.282965922355651855e+01,2.663419700346719154e-01,2.730242094187423918e-02,3.058868077805763086e-01,2.719749446297509143e-01,8.894144161489859340e-03,3.040490318125133040e-01,-5.632974595078998892e-03,1.840827678038437984e-02,1.837775968063004584e-03
9.284959554672241211e+01,2.663997540536361397e-01,2.766172472130873014e-02,3.058868077805763086e-01,2.717404891073335049e-01,9.713955248021089589e-03,3.040758489256386587e-01,-5.340735053697365231e-03,1.794776947328764055e-02,1.810958854937649853e-03
9.286968016624450684e+01,2.664600481090806383e-01,2.802055608537427911e-02,3.058868077805763086e-01,2.716653649109717628e-01,9.976638969048854527e-03,3.040844416602073164e-01,-5.205316801891124445e-03,1.804391711632542458e-02,1.802366120368992242e-03
9.288962888717651367e+01,2.665227880537264782e-01,2.837839155887304093e-02,3.058868077805763086e-01,2.716653649109717628e-01,9.976638969048854527e-03,3.040844416602073164e-01,-5.142576857245284572e-03,1.840175258982418641e-02,1.802366120368992242e-03
9.290952658653259277e+01,2.665871859187813331e-01,2.873089713737357262e-02,3.058868077805763086e-01,2.716653649109717628e-01,9.976638969048854527e-03,3.040844416602073164e-01,-5.078178992190429675e-03,1.875425816832471809e-02,1.802366120368992242e-03
9.292957735061645508e+01,2.666542725691594118e-01,2.908377970969744375e-02,3.058868077805763086e-01,2.716653649109717628e-01,9.976638969048854527e-03,3.040844416602073164e-01,-5.011092341812350970e-03,1.910714074064858922e-02,1.802366120368992242e-03
9.294951820373535156e+01,2.667239386831437575e-01,2.943623023352838486e-02,3.058868077805763086e-01,2.714733399801320113e-01,1.094378624596227187e-02,3.040714191894474672e-01,-4.749401296988253751e-03,1.849244398756611299e-02,1.815388591128841433e-03
9.296967911720275879e+01,2.667956133113848494e-01,2.978533835694193929e-02,3.058868077805763086e-01,2.714111146451314016e-01,1.125718858928145827e-02,3.040671992811156410e-01,-4.615501333746552248e-03,1.852814976766048102e-02,1.819608499460667606e-03
