t_s,des_x,des_y,des_z,act_x,act_y,act_z,err_x,err_y,err_z
3.201980495452880859e+01,3.999010041930693427e-01,-5.260483722620737379e-02,4.106221313700086917e-01,3.612698424251309937e-01,-8.057218977425600892e-02,4.127985454243620067e-01,3.863116176793834899e-02,2.796735254804863513e-02,-2.176414054353315031e-03
3.203987431526184082e+01,3.996009149458886189e-01,-5.270548533333421770e-02,4.106221313700086917e-01,3.612698424251309937e-01,-8.057218977425600892e-02,4.127985454243620067e-01,3.833107252075762528e-02,2.786670444092179122e-02,-2.176414054353315031e-03
3.205993723869323730e+01,3.992982549902446832e-01,-5.281109825650094625e-02,4.106221313700086917e-01,3.612698424251309937e-01,-8.057218977425600892e-02,4.127985454243620067e-01,3.802841256511368950e-02,2.776109151775506267e-02,-2.176414054353315031e-03
3.207984566688537598e+01,3.989972558244149758e-01,-5.292014817505807933e-02,4.106221313700086917e-01,3.612747429302929358e-01,-8.055842100266495664e-02,4.128028761492763543e-01,3.772251289412204001e-02,2.763827282760687731e-02,-2.180744779267662636e-03
3.209968829154968262e+01,3.986936037035370139e-01,-5.303414872020982551e-02,4.106221313700086917e-01,3.612911010550752811e-01,-8.051246017284383050e-02,4.128173323198557343e-01,3.740250264846173289e-02,2.747831145263400499e-02,-2.195200949847042615e-03
3.211988258361816406e+01,3.983870806194452219e-01,-5.315322202271920149e-02,4.106221313700086917e-01,3.612911010550752811e-01,-8.051246017284383050e-02,4.128173323198557343e-01,3.709597956436994082e-02,2.735923815012462901e-02,-2.195200949847042615e-03
3.213981723785400391e+01,3.980794669826343002e-01,-5.327668541520470813e-02,4.106221313700086917e-01,3.612911010550752811e-01,-8.051246017284383050e-02,4.128173323198557343e-01,3.678836592755901913e-02,2.723577475763912237e-02,-2.195200949847042615e-03
3.215975069999694824e+01,3.977719284085469154e-01,-5.340402316879226674e-02,4.106221313700086917e-01,3.612911010550752811e-01,-8.051246017284383050e-02,4.128173323198557343e-01,3.648082735347163430e-02,2.710843700405156376e-02,-2.195200949847042615e-03
3.217974233627319336e+01,3.974622087980639873e-01,-5.353614263828237324e-02,4.106221313700086917e-01,3.612945847074918171e-01,-8.050359294519367215e-02,4.128197881509311773e-01,3.616762409057217020e-02,2.696745030691129891e-02,-2.197656780922485620e-03
3.219971323013305664e+01,3.971520633040797610e-01,-5.367227807640864018e-02,4.106221313700086917e-01,3.613065937768764613e-01,-8.047302527099214897e-02,4.128282540488610319e-01,3.584546952720329971e-02,2.680074719458350879e-02,-2.206122678852340258e-03
3.221996402740478516e+01,3.968378412778343911e-01,-5.381404930496597183e-02,4.106221313700086917e-01,3.613065937768764613e-01,-8.047302527099214897e-02,4.128282540488610319e-01,3.553124750095792983e-02,2.665897596602617714e-02,-2.206122678852340258e-03
3.223994565010070801e+01,3.965245644581485429e-01,-5.395918272185833142e-02,4.106221313700086917e-01,3.613065937768764613e-01,-8.047302527099214897e-02,4.128282540488610319e-01,3.521797068127208163e-02,2.651384254913381755e-02,-2.206122678852340258e-03
3.225987172126770020e+01,3.962094570345403577e-01,-5.410891548462895551e-02,4.106221313700086917e-01,3.613065937768764613e-01,-8.047302527099214897e-02,4.128282540488610319e-01,3.490286325766389641e-02,2.636410978636319347e-02,-2.206122678852340258e-03
3.227987623214721680e+01,3.958928443786948193e-01,-5.426308834351524502e-02,4.106221313700086917e-01,3.613070887350691707e-01,-8.047316332016178630e-02,4.128274436540310122e-01,3.458575564362564858e-02,2.621007497664654129e-02,-2.205312284022320490e-03
3.229967355728149414e+01,3.955759955267147410e-01,-5.442105059453426763e-02,4.106221313700086917e-01,3.613087407588699285e-01,-8.047362408738870099e-02,4.128247387961927473e-01,3.426725476784481250e-02,2.605257349285443336e-02,-2.202607426184055583e-03
3.232020378112792969e+01,3.952530060867366912e-01,-5.458579285592744801e-02,4.106221313700086917e-01,3.613087407588699285e-01,-8.047362408738870099e-02,4.128247387961927473e-01,3.394426532786676276e-02,2.588783123146125298e-02,-2.202607426184055583e-03
3.233981037139892578e+01,3.949359035640349624e-01,-5.475112256521731668e-02,4.106221313700086917e-01,3.613087407588699285e-01,-8.047362408738870099e-02,4.128247387961927473e-01,3.362716280516503398e-02,2.572250152217138430e-02,-2.202607426184055583e-03
3.235971450805664062e+01,3.946148376832188109e-01,-5.492208083766110527e-02,4.106221313700086917e-01,3.613087407588699285e-01,-8.047362408738870099e-02,4.128247387961927473e-01,3.330609692434888247e-02,2.555154324972759572e-02,-2.202607426184055583e-03
3.237978577613830566e+01,3.942916116597801612e-01,-5.509774815950931742e-02,4.106221313700086917e-01,3.613090563105514907e-01,-8.047387909694370123e-02,4.128241625258662340e-01,3.298255534922867049e-02,2.537613093743438381e-02,-2.202031155857542277e-03
3.239985203742980957e+01,3.939688621782801436e-01,-5.527665840145790099e-02,4.106221313700086917e-01,3.613101238212217958e-01,-8.047474179372800240e-02,4.128222130045725580e-01,3.265873835705834782e-02,2.519808339227010141e-02,-2.200081634563866295e-03
3.241981077194213867e+01,3.936439469576375472e-01,-5.546024318505914097e-02,4.106221313700086917e-01,3.613101238212217958e-01,-8.047474179372800240e-02,4.128222130045725580e-01,3.233382313641575134e-02,2.501449860866886143e-02,-2.200081634563866295e-03
3.243976306915283203e+01,3.933169704314539716e-01,-5.564845100511753295e-02,4.106221313700086917e-01,3.613101238212217958e-01,-8.047474179372800240e-02,4.128222130045725580e-01,3.200684661023217581e-02,2.482629078861046945e-02,-2.200081634563866295e-03
3.245980644226074219e+01,3.929900881110450217e-01,-5.584001255831406996e-02,4.106221313700086917e-01,3.613101238212217958e-01,-8.047474179372800240e-02,4.128222130045725580e-01,3.167996428982322588e-02,2.463472923541393245e-02,-2.200081634563866295e-03
3.247975945472717285e+01,3.926606197989625513e-01,-5.603647785422885552e-02,4.106221313700086917e-01,3.613102261000349369e-01,-8.047493477806513806e-02,4.128220041840512944e-01,3.135039369892761441e-02,2.443845692383628254e-02,-2.199872814042602709e-03
3.249983930587768555e+01,3.923314877198691986e-01,-5.623608013833339414e-02,4.106221313700086917e-01,3.613105790370566006e-01,-8.047560071576112528e-02,4.128212835998896213e-01,3.102090868281259795e-02,2.423952057742773114e-02,-2.199152229880929621e-03
3.251974987983703613e+01,3.919996123069663940e-01,-5.644066481387992329e-02,4.106221313700086917e-01,3.613105790370566006e-01,-8.047560071576112528e-02,4.128212835998896213e-01,3.068903326990979341e-02,2.403493590188120199e-02,-2.199152229880929621e-03
3.254004359245300293e+01,3.916665789257846031e-01,-5.664925459499325910e-02,4.106221313700086917e-01,3.613105790370566006e-01,-8.047560071576112528e-02,4.128212835998896213e-01,3.035599988872800248e-02,2.382634612076786618e-02,-2.199152229880929621e-03
3.256020808219909668e+01,3.913346643376944822e-01,-5.686036641571134975e-02,4.106221313700086917e-01,3.613105790370566006e-01,-8.047560071576112528e-02,4.128212835998896213e-01,3.002408530063788161e-02,2.361523430004977553e-02,-2.199152229880929621e-03
3.258005094528198242e+01,3.910018368451655957e-01,-5.707523265164632376e-02,4.106221313700086917e-01,3.613173356032001737e-01,-8.045634927259272262e-02,4.128273697122459285e-01,2.968450124196542195e-02,2.338111662094639887e-02,-2.205238342237236804e-03
3.259961867332458496e+01,3.906666708324909587e-01,-5.729476355647639130e-02,4.106221313700086917e-01,3.613385437972699843e-01,-8.039592089312248835e-02,4.128464734180692375e-01,2.932812703522097442e-02,2.310115733664609705e-02,-2.224342048060545807e-03
3.261998987197875977e+01,3.903283181347156350e-01,-5.751953584557446125e-02,4.106221313700086917e-01,3.613385437972699843e-01,-8.039592089312248835e-02,4.128464734180692375e-01,2.898977433744565069e-02,2.287638504754802710e-02,-2.224342048060545807e-03
3.263981223106384277e+01,3.899912178227494808e-01,-5.774657117777740045e-02,4.106221313700086917e-01,3.613385437972699843e-01,-8.039592089312248835e-02,4.128464734180692375e-01,2.865267402547949649e-02,2.264934971534508790e-02,-2.224342048060545807e-03
3.265976929664611816e+01,3.896523700316698036e-01,-5.797784066123913560e-02,4.106221313700086917e-01,3.613385437972699843e-01,-8.039592089312248835e-02,4.128464734180692375e-01,2.831382623439981927e-02,2.241808023188335275e-02,-2.224342048060545807e-03
3.267980337142944336e+01,3.893124785070363747e-01,-5.821284609441254587e-02,4.106221313700086917e-01,3.613404505621015672e-01,-8.039138993761285601e-02,4.128473364089187969e-01,2.797202794493480749e-02,2.217854384320031014e-02,-2.225205038910105237e-03
3.270003819465637207e+01,3.889707372001943719e-01,-5.845212781802747865e-02,4.106221313700086917e-01,3.613467777067719822e-01,-8.037635504157877864e-02,4.128502000383835746e-01,2.762395949342238977e-02,2.192422722355129999e-02,-2.228068668374882932e-03
3.272024226188659668e+01,3.886233315581882897e-01,-5.869839938087559328e-02,4.106221313700086917e-01,3.613467777067719822e-01,-8.037635504157877864e-02,4.128502000383835746e-01,2.727655385141630751e-02,2.167795566070318536e-02,-2.228068668374882932e-03
3.273980212211608887e+01,3.882886562653345974e-01,-5.893847652615989002e-02,4.106221313700086917e-01,3.613467777067719822e-01,-8.037635504157877864e-02,4.128502000383835746e-01,2.694187855856261526e-02,2.143787851541888861e-02,-2.228068668374882932e-03
3.275984239578247070e+01,3.879449743259438255e-01,-5.918785121958625856e-02,4.106221313700086917e-01,3.613467777067719822e-01,-8.037635504157877864e-02,4.128502000383835746e-01,2.659819661917184330e-02,2.118850382199252008e-02,-2.228068668374882932e-03
3.277985000610351562e+01,3.876006920528165534e-01,-5.944048990831883594e-02,4.106221313700086917e-01,3.613469851065678751e-01,-8.037641288728596123e-02,4.128500436854424249e-01,2.625370694624867829e-02,2.093592297896712529e-02,-2.227912315433733248e-03
3.280035877227783203e+01,3.872438458871587108e-01,-5.970527892537642184e-02,4.106221313700086917e-01,3.613476705705226943e-01,-8.037660406947609582e-02,4.128495269332204676e-01,2.589617531663601646e-02,2.067132514409967398e-02,-2.227395563211775897e-03
3.281997537612915039e+01,3.869078531381333064e-01,-5.995726921064870041e-02,4.106221313700086917e-01,3.613476705705226943e-01,-8.037660406947609582e-02,4.128495269332204676e-01,2.556018256761061203e-02,2.041933485882739541e-02,-2.227395563211775897e-03
3.284007024765014648e+01,3.865614866009434714e-01,-6.021970358797430062e-02,4.106221313700086917e-01,3.613476705705226943e-01,-8.037660406947609582e-02,4.128495269332204676e-01,2.521381603042077701e-02,2.015690048150179520e-02,-2.227395563211775897e-03
3.285977125167846680e+01,3.862126273548728839e-01,-6.048670799640578494e-02,4.106221313700086917e-01,3.613476705705226943e-01,-8.037660406947609582e-02,4.128495269332204676e-01,2.486495678435018952e-02,1.988989607307031088e-02,-2.227395563211775897e-03
3.288009738922119141e+01,3.858608024067031739e-01,-6.075865437228677307e-02,4.106221313700086917e-01,3.613477414396893961e-01,-8.037662383478016981e-02,4.128495908721787622e-01,2.451306096701377779e-02,1.961796946249339674e-02,-2.227459502170070493e-03
